ticker,predicted_return,weight
ON,0.0080831805,0.025
INTC,0.003480142,0.025
SMCI,0.0033103507,0.025
COHR,0.0031873577,0.025
CIEN,0.0029947166,0.025
ORCL,0.0028482224,0.025
GLW,0.002295324,0.025
AXON,0.002265346,0.025
MCHP,0.002158077,0.025
ZBRA,0.001935884,0.025
EIX,0.0019013585,0.025
PODD,0.0018617956,0.025
BLDR,0.001826265,0.025
MPWR,0.0016730234,0.025
TER,0.0016715121,0.025
ACN,0.0016517903,0.025
IT,0.0016505083,0.025
AMAT,0.0016079432,0.025
LRCX,0.0016079432,0.025
BSX,0.0016068113,0.025
HON,0.001596981,0.025
IBM,0.0015793849,0.025
STX,0.001565728,0.025
APTV,0.0015612727,0.025
DD,0.0015555186,0.025
NKE,0.0015442064,0.025
CSGP,0.0015002597,0.025
FSLR,0.0014727362,0.025
TTWO,0.0014719076,0.025
WDC,0.0014618752,0.025
EME,0.0014301942,0.025
TXN,0.0014301942,0.025
GNRC,0.0014281807,0.025
ETN,0.0014180025,0.025
GM,0.0014152882,0.025
LULU,0.0014067044,0.025
PNR,0.0014067044,0.025
GEV,0.001399364,0.025
UAL,0.0013959195,0.025
RTX,0.0013948118,0.025
